Group_ID,Site,Text,URL
1,bestbuy,Sports & Outdoor Recreation,http://www.bestbuy.com/site/Health-Fitness/Sports-Outdoor-Recreation/pcmcat273800050017.c?id=pcmcat273800050017
1,bestbuy,Outdoor Play,http://www.bestbuy.com/site/Toys-Games/Outdoor-Toys-Games/pcmcat250300050003.c?id=pcmcat250300050003
1,bestbuy,Outdoor Living,http://www.bestbuy.com/site/Home/Outdoor-Living/pcmcat179100050006.c?id=pcmcat179100050006
1,bjs,Outdoor Living,http://www.bjs.com/home/outdoor-living.category.521.385.2000198.1
1,bjs,Awnings & Outdoor Shading,http://www.bjs.com/seasonal/awnings--outdoor-shading.category.29510.28511.2003635.1
1,bjs,Outdoor Party,http://www.bjs.com/seasonal/outdoor-party.category.3000000000000032003.28511.2005569.1
1,bjs,Bouncers & Outdoor Play,http://www.bjs.com/toys/bouncers--outdoor-play.category.129003.808.2001769.1
1,overstock,Outdoors,http://www.overstock.com/Sports-Toys/Outdoors/219/dept.html
1,overstock,Sports & Outdoors,http://www.overstock.com/As-Seen-on-TV/Sports-Outdoors/433/dept.html
1,walmart,Outdoor Power Equipment,http://www.walmart.com/cp/1102182?povid=cat121828-env999999-moduleA020813-lLinkGNAV3_HomeImprovement_OutdoorPowerEquipment
1,walmart,Grills & Outdoor Cooking,http://www.walmart.com/cp/Grills-Outdoor-Cooking/4089?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PatioGarden_GrillsOutdoorCooking
1,walmart,Outdoor Play,http://www.walmart.com/cp/14521?povid=cat121828-env999999-module020813-lLinkGNAV4_PatioGarden_OutdoorPlay
1,walmart,Patio & Outdoor Decor,http://www.walmart.com/cp/1102183?povid=cat121828-env999999-moduleA020813-lLinkGNAV4_PatioGarden_PatioGarden
1,walmart,Outdoors & Recreation,http://www.walmart.com/cp/Outdoor-Play/546956?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_OutdoorsRecreation
1,wayfair,Outdoor Lighting,http://www.wayfair.com/Outdoor-Lighting-C45346.html
1,wayfair,Outdoor Cooking,http://www.wayfair.com/Outdoor-Cooking-C215946.html
1,wayfair,Outdoor D�cor,http://www.wayfair.com/Outdoor-D%C3%A9cor-C215436.html
1,wayfair,Outdoor Games & Play,http://www.wayfair.com/Outdoor-Games-and-Play-C216137.html
1,wayfair,Outdoor Heating,http://www.wayfair.com/Outdoor-Heating-C215961.html
1,wayfair,Outdoor Recreation,http://www.wayfair.com/Outdoor-Recreation-C216001.html
1,bjs,Patio Furniture,http://www.bjs.com/seasonal/patio-furniture.category.29505.28511.2003620.1
1,overstock,Garden & Patio,http://www.overstock.com/Home-Garden/Garden-Patio/4/dept.html
1,walmart,Patio,http://www.walmart.com/cp/Patio-Furniture/91416?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_Furniture_Patio
1,walmart,Patio & Garden,http://www.walmart.com/cp/patio-garden/5428?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_PatioGarden
1,walmart,Patio Furniture,http://www.walmart.com/cp/91416?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PatioGarden_PatioFurnitureDecor
1,wayfair,Patio Furniture,http://www.wayfair.com/Patio-Furniture-C33338.html
1,bjs,Furniture & Decor,http://www.bjs.com/home/furniture--decor.category.439.385.2000233.1
1,overstock,Home Decor,http://www.overstock.com/Home-Garden/Home-Decor/3/dept.html
1,overstock,Nursery Decor,http://www.overstock.com/Baby/Nursery-Decor/267/dept.html
1,bjs,Nursery,http://www.bjs.com/baby/nursery.category.1052.1035.2002365.1
1,walmart,Nursery Furniture,http://www.walmart.com/cp/414099?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Baby_Nursery
1,wayfair,Nursery Furniture,http://www.wayfair.com/Nursery-Furniture-C90450.html
1,walmart,Party Supplies,http://www.walmart.com/browse/party-occasions/party-supplies/2637_1042319_971299/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PartyOccasions_PartySupplies
2,bestbuy,Home Audio,http://www.bestbuy.com/site/Audio/Home-Audio/pcmcat241600050001.c?id=pcmcat241600050001
2,bestbuy,Home Energy Technology,http://www.bestbuy.com/site/Home/Home-Energy-Technology/pcmcat211000050003.c?id=pcmcat211000050003
2,bestbuy,Home Security & Monitoring,http://www.bestbuy.com/site/Home/Home-Security-Safety/pcmcat254000050002.c?id=pcmcat254000050002
2,bjs,Home Improvement,http://www.bjs.com/home/home-improvement.category.623.385.2000668.1
2,bjs,Home Health Care,http://www.bjs.com/health--beauty/home-health-care.category.903.850.2001227.1
2,bloomingdales,Home,http://www1.bloomingdales.com/catalog/index.ognc?CategoryID=3865&PageID=16603050684416
2,overstock,Home Decor,http://www.overstock.com/Home-Garden/Home-Decor/3/dept.html
2,overstock,Home Improvement,http://www.overstock.com/Home-Garden/Home-Improvement/36/dept.html
2,overstock,Home Office Equipment,http://www.overstock.com/Electronics/Home-Office-Equipment/8/dept.html
2,overstock,Home & Garden,http://www.overstock.com/Eziba/Home-Garden/355/dept.html
2,walmart,Home Audio & Theater,http://www.walmart.com/cp/Home-Audio-Theater/77622?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_Electronics_HomeAudioTheater
2,walmart,Home Health Care,http://www.walmart.com/cp/home-medical-supplies-equipment/1005860?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_HomeMedical
2,walmart,Paint & Home Décor,http://www.walmart.com/cp/1067617?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_PaintHomeDecor
2,walmart,Home Office Furniture,http://www.walmart.com/cp/office-furniture/97116?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_Office_HomeOfficeFurniture
2,wayfair,Home Entertainment,http://www.wayfair.com/Home-Entertainment-C431581.html
2,wayfair,Home Office Furniture,http://www.wayfair.com/Home-Office-Furniture-C332627.html
2,wayfair,Home Accents,http://www.wayfair.com/Home-Accents-C215457.html
2,wayfair,Home Health & Mobility,http://www.wayfair.com/Home-Health-and-Mobility-C407098.html
2,bjs,Lawn and Garden,http://www.bjs.com/seasonal/lawn-and-garden.category.124010.28511.2001431.1
2,overstock,Garden & Patio,http://www.overstock.com/Home-Garden/Garden-Patio/4/dept.html
2,walmart,Patio & Garden,http://www.walmart.com/cp/patio-garden/5428?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_PatioGarden
2,walmart,Gardening & Lawn Care,http://www.walmart.com/cp/4091?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GardenCenter
2,wayfair,Lawn & Garden,http://www.wayfair.com/Lawn-and-Garden-C489047.html
2,bjs,Patio Furniture,http://www.bjs.com/seasonal/patio-furniture.category.29505.28511.2003620.1
2,walmart,Patio,http://www.walmart.com/cp/Patio-Furniture/91416?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_Furniture_Patio
2,walmart,Patio Furniture,http://www.walmart.com/cp/91416?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PatioGarden_PatioFurnitureDecor
2,walmart,Patio & Outdoor Decor,http://www.walmart.com/cp/1102183?povid=cat121828-env999999-moduleA020813-lLinkGNAV4_PatioGarden_PatioGarden
2,wayfair,Patio Furniture,http://www.wayfair.com/Patio-Furniture-C33338.html
2,bjs,Furniture & Decor,http://www.bjs.com/home/furniture--decor.category.439.385.2000233.1
2,overstock,Nursery Decor,http://www.overstock.com/Baby/Nursery-Decor/267/dept.html
2,wayfair,Accent Furniture,http://www.wayfair.com/Accent-Furniture-C504618.html
3,bjs,Lawn and Garden,http://www.bjs.com/seasonal/lawn-and-garden.category.124010.28511.2001431.1
3,bjs,Lawn Games,http://www.bjs.com/sports/lawn-games.category.132040.986.2003145.1
3,walmart,Gardening & Lawn Care,http://www.walmart.com/cp/4091?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GardenCenter
3,wayfair,Lawn & Garden,http://www.wayfair.com/Lawn-and-Garden-C489047.html
3,bestbuy,Vacuum Cleaners & Floor Care,http://www.bestbuy.com/site/Home-Appliances/Vacuums-Floor-Care/abcat0911000.c?id=abcat0911000
3,bestbuy,Personal Care & Beauty,http://www.bestbuy.com/site/Appliances/Personal-Care/abcat0915000.c?id=abcat0915000
3,bjs,Home Health Care,http://www.bjs.com/health--beauty/home-health-care.category.903.850.2001227.1
3,bjs,Personal Care,http://www.bjs.com/health--beauty/personal-care.category.884.850.2000054.1
3,bjs,Hair Care,http://www.bjs.com/health--beauty/hair-care.category.851.850.2001157.1
3,bjs,Skin Care,http://www.bjs.com/health--beauty/skin-care.category.876.850.2001127.1
3,overstock,Bath & Skin Care,http://www.overstock.com/Baby/Bath-Skin-Care/268/dept.html
3,walmart,Car Care & Maintenance,http://www.walmart.com/browse/auto-tires/car-care-maintenance/91083_1045959_1074764/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV1_AutoTires_CarCareMaintenance
3,walmart,Baby Bath & Skin Care,http://www.walmart.com/browse/baby/baby-bath-skin-care/5427_1097005/?_refineresult=true&povid=cat121828-env999999-moduleA082112-lLinkGNAV1_Baby_BabyBathSkinCare
3,walmart,Hair Care,http://www.walmart.com/cp/1007219?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_HairCare
3,walmart,Skin Care,http://www.walmart.com/cp/1007039?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_SkinCare
3,walmart,Home Health Care,http://www.walmart.com/cp/home-medical-supplies-equipment/1005860?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_HomeMedical
3,walmart,Oral Care,http://www.walmart.com/cp/Oral-Care/1007221?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_OralCare
3,walmart,Personal Care,http://www.walmart.com/cp/Personal-Care/1005862?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_PersonalCare
3,overstock,Garden & Patio,http://www.overstock.com/Home-Garden/Garden-Patio/4/dept.html
3,overstock,Home & Garden,http://www.overstock.com/Eziba/Home-Garden/355/dept.html
3,walmart,Patio & Garden,http://www.walmart.com/cp/patio-garden/5428?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_PatioGarden
4,bestbuy,Home Audio,http://www.bestbuy.com/site/Audio/Home-Audio/pcmcat241600050001.c?id=pcmcat241600050001
4,bestbuy,Home Energy Technology,http://www.bestbuy.com/site/Home/Home-Energy-Technology/pcmcat211000050003.c?id=pcmcat211000050003
4,bestbuy,Home Security & Monitoring,http://www.bestbuy.com/site/Home/Home-Security-Safety/pcmcat254000050002.c?id=pcmcat254000050002
4,bjs,Home Improvement,http://www.bjs.com/home/home-improvement.category.623.385.2000668.1
4,bjs,Home Health Care,http://www.bjs.com/health--beauty/home-health-care.category.903.850.2001227.1
4,bloomingdales,Home,http://www1.bloomingdales.com/catalog/index.ognc?CategoryID=3865&PageID=16603050684416
4,overstock,Home Decor,http://www.overstock.com/Home-Garden/Home-Decor/3/dept.html
4,overstock,Home Improvement,http://www.overstock.com/Home-Garden/Home-Improvement/36/dept.html
4,overstock,Home Office Equipment,http://www.overstock.com/Electronics/Home-Office-Equipment/8/dept.html
4,overstock,Home & Garden,http://www.overstock.com/Eziba/Home-Garden/355/dept.html
4,walmart,Home Audio & Theater,http://www.walmart.com/cp/Home-Audio-Theater/77622?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_Electronics_HomeAudioTheater
4,walmart,Home Health Care,http://www.walmart.com/cp/home-medical-supplies-equipment/1005860?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_HomeMedical
4,walmart,Paint & Home Décor,http://www.walmart.com/cp/1067617?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_PaintHomeDecor
4,walmart,Home Office Furniture,http://www.walmart.com/cp/office-furniture/97116?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_Office_HomeOfficeFurniture
4,wayfair,Home Entertainment,http://www.wayfair.com/Home-Entertainment-C431581.html
4,wayfair,Home Office Furniture,http://www.wayfair.com/Home-Office-Furniture-C332627.html
4,wayfair,Home Accents,http://www.wayfair.com/Home-Accents-C215457.html
4,wayfair,Home Health & Mobility,http://www.wayfair.com/Home-Health-and-Mobility-C407098.html
4,bestbuy,Vacuum Cleaners & Floor Care,http://www.bestbuy.com/site/Home-Appliances/Vacuums-Floor-Care/abcat0911000.c?id=abcat0911000
4,bestbuy,Personal Care & Beauty,http://www.bestbuy.com/site/Appliances/Personal-Care/abcat0915000.c?id=abcat0915000
4,bjs,Personal Care,http://www.bjs.com/health--beauty/personal-care.category.884.850.2000054.1
4,bjs,Hair Care,http://www.bjs.com/health--beauty/hair-care.category.851.850.2001157.1
4,bjs,Skin Care,http://www.bjs.com/health--beauty/skin-care.category.876.850.2001127.1
4,overstock,Bath & Skin Care,http://www.overstock.com/Baby/Bath-Skin-Care/268/dept.html
4,walmart,Car Care & Maintenance,http://www.walmart.com/browse/auto-tires/car-care-maintenance/91083_1045959_1074764/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV1_AutoTires_CarCareMaintenance
4,walmart,Baby Bath & Skin Care,http://www.walmart.com/browse/baby/baby-bath-skin-care/5427_1097005/?_refineresult=true&povid=cat121828-env999999-moduleA082112-lLinkGNAV1_Baby_BabyBathSkinCare
4,walmart,Hair Care,http://www.walmart.com/cp/1007219?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_HairCare
4,walmart,Skin Care,http://www.walmart.com/cp/1007039?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_SkinCare
4,walmart,Oral Care,http://www.walmart.com/cp/Oral-Care/1007221?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_OralCare
4,walmart,Personal Care,http://www.walmart.com/cp/Personal-Care/1005862?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_PersonalCare
4,walmart,Gardening & Lawn Care,http://www.walmart.com/cp/4091?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GardenCenter
4,bjs,Lawn and Garden,http://www.bjs.com/seasonal/lawn-and-garden.category.124010.28511.2001431.1
