Group_ID,Site,Text,URL
1,amazon,Kids' Clothing,http://www.amazon.com/Kids-Baby-Clothing/b/ref=sd_allcat_kba12/185-2659415-1292738?ie=UTF8&node=1040662
1,amazon,Baby Clothing,http://www.amazon.com/l/2402554011/ref=sd_allcat_bc/185-2659415-1292738
1,amazon,Clothing,http://www.amazon.com/clothing-accessories-men-women-kids/b/ref=sd_allcat_apr/185-2659415-1292738?ie=UTF8&node=1036592
1,amazon,Athletic & Outdoor Clothing,http://www.amazon.com/Apparel/b/ref=sd_allcat_athcloth/185-2659415-1292738?ie=UTF8&node=2206626011
1,overstock,Clothing & Shoes,http://www.overstock.com/Clothing-Shoes/7/store.html
1,amazon,Outdoor Recreation,http://www.amazon.com/Outdoor-Recreation/b/ref=sd_allcat_outrec/185-2659415-1292738?ie=UTF8&node=706814011
1,amazon,All Sports & Outdoors,http://www.amazon.com/sporting-goods-clothing-cycling-exercise/b/ref=sd_allcat_sg/185-2659415-1292738?ie=UTF8&node=3375251
1,walmart,"Sports, Fitness & Outdoors",http://www.walmart.com/cp/sports-outdoors/4125?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors
1,wayfair,Outdoor,http://www.wayfair.com/Outdoor-C32334.html
2,amazon,Exercise & Fitness,http://www.amazon.com/Exercise-Fitness-Sports-Outdoors/b/ref=sd_allcat_ef/185-2659415-1292738?ie=UTF8&node=3407731
2,bestbuy,"Health, Fitness & Sports",http://www.bestbuy.com/site/Electronics/Health-Fitness/pcmcat242800050021.c?id=pcmcat242800050021
2,walmart,"Sports, Fitness & Outdoors",http://www.walmart.com/cp/sports-outdoors/4125?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors
2,amazon,Boating & Water Sports,http://www.amazon.com/Boating-Water-Sports-Outdoors/b/ref=sd_allcat_btwt/185-2659415-1292738?ie=UTF8&node=3421331
2,amazon,Team Sports,http://www.amazon.com/Team-Sports-Outdoors/b/ref=sd_allcat_teamsp/185-2659415-1292738?ie=UTF8&node=706809011
2,amazon,Sports Collectibles,http://www.amazon.com/Sports-Collectibles/b/ref=sd_allcat_sprt_cllct/185-2659415-1292738?ie=UTF8&node=3250697011
2,amazon,All Sports & Outdoors,http://www.amazon.com/sporting-goods-clothing-cycling-exercise/b/ref=sd_allcat_sg/185-2659415-1292738?ie=UTF8&node=3375251
2,bjs,Sports,http://www.bjs.com/sports.category.986.2000149
2,overstock,Sports & Toys,http://www.overstock.com/Sports-Toys/5/store.html
2,amazon,Outdoor Recreation,http://www.amazon.com/Outdoor-Recreation/b/ref=sd_allcat_outrec/185-2659415-1292738?ie=UTF8&node=706814011
2,amazon,Athletic & Outdoor Clothing,http://www.amazon.com/Apparel/b/ref=sd_allcat_athcloth/185-2659415-1292738?ie=UTF8&node=2206626011
2,wayfair,Outdoor,http://www.wayfair.com/Outdoor-C32334.html
2,amazon,Entertainment Collectibles,http://www.amazon.com/b/ref=sd_allcat_entcol/185-2659415-1292738?ie=UTF8&node=5088769011
3,amazon,Boating & Water Sports,http://www.amazon.com/Boating-Water-Sports-Outdoors/b/ref=sd_allcat_btwt/185-2659415-1292738?ie=UTF8&node=3421331
3,amazon,Team Sports,http://www.amazon.com/Team-Sports-Outdoors/b/ref=sd_allcat_teamsp/185-2659415-1292738?ie=UTF8&node=706809011
3,amazon,Sports Collectibles,http://www.amazon.com/Sports-Collectibles/b/ref=sd_allcat_sprt_cllct/185-2659415-1292738?ie=UTF8&node=3250697011
3,amazon,All Sports & Outdoors,http://www.amazon.com/sporting-goods-clothing-cycling-exercise/b/ref=sd_allcat_sg/185-2659415-1292738?ie=UTF8&node=3375251
3,bestbuy,"Health, Fitness & Sports",http://www.bestbuy.com/site/Electronics/Health-Fitness/pcmcat242800050021.c?id=pcmcat242800050021
3,bjs,Sports,http://www.bjs.com/sports.category.986.2000149
3,overstock,Sports & Toys,http://www.overstock.com/Sports-Toys/5/store.html
3,walmart,"Sports, Fitness & Outdoors",http://www.walmart.com/cp/sports-outdoors/4125?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors
