Group_ID,Group_name,Short_name,Site,Text,URL
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",amazon,Kids' Clothing,http://www.amazon.com/Kids-Baby-Clothing/b/ref=sd_allcat_kba12/185-2659415-1292738?ie=UTF8&node=1040662
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",amazon,Baby Clothing,http://www.amazon.com/l/2402554011/ref=sd_allcat_bc/185-2659415-1292738
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",amazon,Clothing,http://www.amazon.com/clothing-accessories-men-women-kids/b/ref=sd_allcat_apr/185-2659415-1292738?ie=UTF8&node=1036592
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",amazon,Athletic & Outdoor Clothing,http://www.amazon.com/Apparel/b/ref=sd_allcat_athcloth/185-2659415-1292738?ie=UTF8&node=2206626011
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",overstock,Clothing & Shoes,http://www.overstock.com/Clothing-Shoes/7/store.html
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",amazon,Outdoor Recreation,http://www.amazon.com/Outdoor-Recreation/b/ref=sd_allcat_outrec/185-2659415-1292738?ie=UTF8&node=706814011
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",amazon,All Sports & Outdoors,http://www.amazon.com/sporting-goods-clothing-cycling-exercise/b/ref=sd_allcat_sg/185-2659415-1292738?ie=UTF8&node=3375251
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",walmart,"Sports, Fitness & Outdoors",http://www.walmart.com/cp/sports-outdoors/4125?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor",wayfair,Outdoor,http://www.wayfair.com/Outdoor-C32334.html
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",amazon,Exercise & Fitness,http://www.amazon.com/Exercise-Fitness-Sports-Outdoors/b/ref=sd_allcat_ef/185-2659415-1292738?ie=UTF8&node=3407731
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",bestbuy,"Health, Fitness & Sports",http://www.bestbuy.com/site/Electronics/Health-Fitness/pcmcat242800050021.c?id=pcmcat242800050021
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",walmart,"Sports, Fitness & Outdoors",http://www.walmart.com/cp/sports-outdoors/4125?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",amazon,Boating & Water Sports,http://www.amazon.com/Boating-Water-Sports-Outdoors/b/ref=sd_allcat_btwt/185-2659415-1292738?ie=UTF8&node=3421331
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",amazon,Team Sports,http://www.amazon.com/Team-Sports-Outdoors/b/ref=sd_allcat_teamsp/185-2659415-1292738?ie=UTF8&node=706809011
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",amazon,Sports Collectibles,http://www.amazon.com/Sports-Collectibles/b/ref=sd_allcat_sprt_cllct/185-2659415-1292738?ie=UTF8&node=3250697011
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",amazon,All Sports & Outdoors,http://www.amazon.com/sporting-goods-clothing-cycling-exercise/b/ref=sd_allcat_sg/185-2659415-1292738?ie=UTF8&node=3375251
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment",bjs,Sports,http://www.bjs.com/sports.category.986.2000149
