MDSE_DEPT_I,MDSE_CLAS_I,MDSE_ITEM_I,ITEM_STAT_C
30,2,7070,A
30,2,196,A
30,2,178,A
30,2,191,A
30,2,194,A
30,2,177,A
30,2,192,A
30,2,203,A
30,2,7508,A
30,2,915,A
30,2,897,A
30,2,1139,A
30,2,6995,A
30,2,6998,A
30,2,7021,A
30,2,7025,A
30,2,7033,A
30,2,7035,A
30,2,7023,A
30,2,7027,A
30,2,6661,A
30,2,6664,A
30,2,6680,A
30,2,6745,A
30,2,5671,A
30,2,5670,A
30,2,5667,A
30,2,6749,A
30,2,7617,A
30,2,7629,A
30,2,7630,A
30,2,7634,A
30,2,5205,A
30,2,5204,A
30,2,5203,A
30,2,7639,A
30,2,7642,A
30,2,7613,A
30,2,7619,A
30,2,7646,A
30,2,7648,A
30,2,7649,A
30,2,7650,A
30,2,5275,A
30,2,4990,A
30,2,4042,A
30,2,7656,A
30,2,5276,A
30,2,5278,A
30,2,5277,A
30,2,5191,A
30,2,7604,A
30,2,5187,A
30,2,7623,A
30,2,7221,A
30,2,5664,A
30,2,5815,A
30,2,5665,A
30,2,5816,A
30,2,4041,A
30,2,7632,A
30,2,5806,A
30,2,5138,A
30,2,5419,A
30,2,6061,A
30,2,5999,A
30,2,7638,A
30,2,6000,A
30,2,5782,A
30,2,6001,A
30,2,7640,A
30,2,6002,A
30,2,5422,A
30,2,4608,A
30,2,5781,A
30,2,5421,A
30,2,5420,A
30,2,4610,A
30,2,5779,A
30,2,5780,A
30,2,1380,A
30,2,1165,A
30,2,6992,A
30,2,6994,A
30,2,6996,A
30,2,6997,A
30,2,5285,A
30,2,5284,A
30,2,5283,A
30,2,5282,A
30,2,5281,A
30,2,7606,A
30,2,7608,A
30,2,5210,A
30,2,5209,A
30,2,5154,A
30,2,5214,A
30,2,7618,A
30,2,7621,A
30,2,1053,A
30,2,1060,A
30,2,1065,A
30,2,2904,A
30,2,7622,A
30,2,7624,A
30,2,7171,A
30,2,7172,A
30,2,7626,A
30,2,7173,A
30,2,7174,A
30,2,5280,A
30,2,7627,A
30,2,7631,A
30,2,7633,A
30,2,4577,A
30,2,7051,A
30,2,7000,A
30,2,7015,A
30,2,7054,A
30,2,7059,A
30,2,7060,A
30,2,7242,A
30,2,7243,A
30,2,7672,A
30,2,7673,A
30,2,7674,A
30,2,7675,A
30,2,7677,A
30,2,7679,A
30,2,7682,A
30,2,7684,A
30,2,7691,A
30,2,5316,A
30,2,5315,A
30,2,5418,A
30,2,5327,A
30,2,5326,A
30,2,5325,A
30,2,5324,A
30,2,5323,A
30,2,5322,A
30,2,5321,A
30,2,5320,A
30,2,5319,A
30,2,5318,A
30,2,5778,A
30,2,5314,A
30,2,5313,A
30,2,2374,A
30,2,5436,A
30,2,4641,A
30,2,4035,A
30,2,5438,A
30,2,4645,A
30,2,4036,A
30,2,4884,A
30,2,4886,A
30,2,4885,A
30,2,2903,A
30,2,2902,A
30,2,3651,A
30,2,3646,A
30,2,3652,A
30,2,4887,A
30,2,7246,A
30,2,1379,A
30,2,1378,A
30,2,5153,A
30,2,5182,A
30,2,7064,A
30,2,7066,A
30,2,7068,A
30,2,7229,A
30,2,6652,A
30,2,6659,A
30,2,5805,A
30,2,4950,A
30,2,4637,A
30,2,15,A
30,2,2999,A
30,2,7707,A
30,2,7708,A
30,2,7709,A
30,2,7710,A
30,2,5504,A
30,2,5650,A
30,2,5652,A
30,2,4949,A
30,2,5649,A
30,2,4948,A
30,2,5802,A
30,2,4946,A
30,2,4947,A
30,2,5788,A
30,2,6144,A
30,2,6141,A
30,2,6139,A
30,2,6133,A
30,2,6131,A
30,2,6128,A
30,2,6126,A
30,2,6124,A
30,2,5790,A
30,2,5425,A
30,2,4611,A
30,2,6168,A
30,2,6165,A
30,2,6162,A
30,2,6161,A
30,2,6114,A
30,2,6110,A
30,2,6801,A
30,2,6803,A
30,2,7752,A
30,2,7753,A
30,2,7754,A
30,2,7758,A
30,2,1015,A
30,2,7759,A
30,2,6058,A
30,2,7760,A
30,2,6005,A
30,2,5786,A
30,2,6807,A
30,2,5785,A
30,2,6060,A
30,2,5424,A
30,2,5784,A
30,2,5423,A
30,2,6059,A
30,2,6003,A
30,2,4822,A
30,2,5082,A
